description,amount,category,subcategory,year,month,recurrent,bank,id
VILLA CRUZ,24.77,Alimentação,Comer Fora,2024,2,Não,C6,32
PAG*LOJASRENNERSA,69.90,Gastos Pessoais,Vestuário,2024,2,Não,C6,33
TINA   *STORE,116.97,Gastos Pessoais,Vestuário,2024,2,Não,C6,34
ECOSUL,19.60,Transporte,Impostos e taxas do automóvel,2024,2,Não,C6,35
ECOSUL,19.60,Transporte,Impostos e taxas do automóvel,2024,2,Não,C6,36
PADARIA VILLA SERRANA,15.45,Alimentação,Mantimentos,2024,2,Não,C6,37
COMERCIAL ZAFFARI LOJA,219.32,Alimentação,Mantimentos,2024,2,Sim,C6,38
HAVAN PELOTAS,74.01,Moradia,Compras para casa,2024,2,Não,C6,39
ACQ*MIL BOLSAS,59.90,Gastos Pessoais,Vestuário,2024,2,Não,C6,40
LOJA SO DOIS REAIS,42.80,Moradia,Compras para casa,2024,2,Não,C6,41
LOJA SO DOIS REAIS,71.50,Moradia,Compras para casa,2024,2,Não,C6,42
LOJA SO DOIS REAIS,10.00,Moradia,Compras para casa,2024,2,Não,C6,43
PAG*ATACADOGLOBO,69.18,Moradia,Compras para casa,2024,2,Não,C6,44
INOVE CASA,59.98,Moradia,Manutenção Residencial,2024,2,Não,C6,45
SUPERMERCADO GUANABARA,57.25,Alimentação,Mantimentos,2024,2,Sim,C6,46
SUPERMERCADO GUANABARA,79.50,Alimentação,Mantimentos,2024,2,Sim,C6,47
EMPORIO GELEI,19.89,Entretenimento,Bares/Pubs,2024,2,Não,C6,48
PG *TON KIKA PET SHOP,125.00,Diversos,Animais de estimação,2024,2,Não,C6,49
POSTO AZEREDO,221.08,Transporte,Gasolina,2024,2,Sim,C6,50
PAG*MARIAANGELICA,142.00,Gastos Pessoais,Beleza e Cuidados Pessoais,2024,2,Não,C6,51
PAG*NICASCASAPUBLTDA,73.00,Entretenimento,Bares/Pubs,2024,2,Não,C6,52
PAPUERA BAR,18.00,Entretenimento,Bares/Pubs,2024,2,Não,C6,53
PAPUERA BAR,18.00,Entretenimento,Bares/Pubs,2024,2,Não,C6,54
REI DO QUINDIM,63.36,Alimentação,Comer Fora,2024,2,Não,C6,55
LA CARRETA PSJ,67.00,Alimentação,Comer Fora,2024,2,Não,C6,56
FARMACIA SAO JOAO,67.50,Saúde,Medicações,2024,2,Não,C6,57
FARMACIA SAO JOAO,16.89,Saúde,Medicações,2024,2,Não,C6,58
AMAZON MARKETPLACE,21.90,Moradia,Compras para casa,2024,2,Não,C6,59
MERCADOLIVRE*ACIMELSU,49.26,Moradia,Compras para casa,2024,2,Não,C6,60
MERCADOLIVRE*BRUNOREZ,60.00,Moradia,Compras para casa,2024,2,Não,C6,61
MERCADOLIVRE*MERCADOL,58.14,Moradia,Compras para casa,2024,2,Não,C6,62
HUB*KABUM,913.20,Moradia,Compras para casa,2024,2,Não,C6,63
IFOOD       *IFOOD,47.90,Alimentação,Comer Fora,2024,2,Não,C6,64
AMAZON BR,17.90,Moradia,Compras para casa,2024,2,Não,C6,65
Liquidacao B3 *      23/02/2024,66.55,Poupança/Dívidas/Investimentos,Investimentos,2024,2,Não,Inter,66
Liquidacao B3 *      15/02/2024,511.89,Poupança/Dívidas/Investimentos,Investimentos,2024,2,Não,Inter,67
Inter Pre 10gb Mensal,30.00,Diversos,Despesas Diversas,2024,2,Não,Inter,68
Pagamento de boleto efetuado - OSIRNET INFO TELECOM EIRELI . EPP,110.13,Utilidades,Internet,2024,2,Sim,Nubank,69
Pagamento de boleto efetuado - F SOUTO IMOVEIS LTDA,1900.57,Moradia,Hipoteca/Aluguel,2024,2,Sim,Nubank,70
Pagamento de boleto efetuado - CIA ESTADUAL DE DIST,101.18,Utilidades,Eletricidade,2024,2,Sim,Nubank,71
Transferência enviada pelo Pix - Shopee - 38.372.267/0001-82 - ADYEN DO BRASIL IP LTDA. Agência: 1 Conta: 100000037-5,41.50,Moradia,Compras para casa,2024,2,Não,Nubank,72
Tarifa Pacote de Serviços - Cobrança referente 14/02/2024,14.55,Utilidades,Taxas Bancárias,2024,2,Sim,Banco do Brasil,73
Pagamento Fatura de Água - SANEP - PELOTAS,128.84,Utilidades,Água,2024,2,Sim,Banco do Brasil,74
Amazonprimebr,14.90,Gastos Pessoais,Assinaturas,2024,1,Sim,Nubank,75
Amazon 5/10,269.99,Moradia,Compras para casa,2024,1,Não,Nubank,76
Fina Flor,69.00,Diversos,Presentes e Doações,2024,1,Não,Nubank,77
Pg *Intershop Intersho 6/10,299.90,Moradia,Compras para casa,2024,1,Não,Nubank,78
Styllo 10/10,88.00,Diversos,Presentes e Doações,2024,1,Não,Nubank,79
LOJAS RIACHUELO LJ 027,59.93,Gastos Pessoais,Vestuário,2024,1,Não,C6,80
SUEL STREET WEAR,140.00,Gastos Pessoais,Vestuário,2024,1,Não,C6,81
BRASCON,110.08,Gastos Pessoais,Vestuário,2024,1,Não,C6,82
PAG*CASAMARIA,60.43,Moradia,Compras para casa,2024,1,Não,C6,83
VALOREM*FENIX COMERCIO,49.99,Saúde,Medicações,2024,1,Não,C6,84
HAVAN PELOTAS,68.98,Moradia,Compras para casa,2024,1,Não,C6,85
POSTO AZEREDO,260.17,Transporte,Gasolina,2024,1,Sim,C6,86
ECOSUL,15.20,Transporte,Impostos e taxas do automóvel,2024,1,Não,C6,87
SIM JAGUARAO SHELL 116,8.98,Diversos,Despesas Diversas,2024,1,Não,C6,88
ECOSUL,15.20,Transporte,Impostos e taxas do automóvel,2024,1,Não,C6,89
VILA REAL CONFEITARIA,7.00,Alimentação,Mantimentos,2024,1,Não,C6,90
CARREFOUR NPA PELOTAS,6.89,Alimentação,Mantimentos,2024,1,Sim,C6,91
FERRAGEM LORENZET,25.30,Moradia,Manutenção Residencial,2024,1,Não,C6,92
